"sex","method","n","mean_z","sd_z","median_z","slope_per10cm","weighted_correlation","p5","p10","skewness","excess_kurtosis","tail_loss","sd_min","sd_max","sd_range","p5_drift_pp","p10_drift_pp","p5_range_pp","p10_range_pp","guardrail","slope_ci_low","slope_ci_high","clipped"
"Female","Height2",4718,0.668447591748147,1.09425043550626,0.62578943338197,-0.0636297410413525,-0.0406774310737324,0.0184498000403658,0.0321174265361492,0.177191173984852,0.746518792344252,0.0362993895293181,1.05685132993544,1.1366716687408,0.0798203388053684,0.270206297428762,-0.103032345009375,0.41757091179023,1.74498001015311,FALSE,-0.136982765965096,0.00972328388238666,0
"Female","Allometry_ageadj",4718,0.732984331080802,1.09627592662985,0.684789413549602,0.0717644485946277,0.0457930494546509,0.016539245479035,0.0290424298545361,0.169551257006578,0.76229356581698,0.0401731743827723,1.06161100617284,1.13828408644275,0.0766730802699072,0.930390627633119,1.27500176148268,0.930390627633119,1.76100322613191,FALSE,-0.00209601050700235,0.145624907696254,0
"Female","Gaussian",4718,0.739627005281115,1.10299425208227,0.68729644388579,0.0890213397643621,0.056458712099233,0.0165259572979439,0.0287908988694022,0.183208825870482,0.786100634757206,0.0404709803910409,1.04891332550284,1.17619267970912,0.127279354206282,0.874061764259225,0.936076944333749,0.874061764259225,2.22562520288585,FALSE,0.0168713515673797,0.161171327961341,0
"Female","BCT",4718,0.73900819744546,1.08808163884265,0.708029549139223,0.0984893862792583,0.0633195820708555,0.0177227307640857,0.0314274281546713,0.0083522451993345,0.244984254733434,0.0375680860985073,1.05144354447984,1.15138055593863,0.0999370114587923,0.508461063432683,0.962883683886068,0.606434994270798,2.21133372643611,FALSE,0.0262899414416957,0.170688831116817,0
"Male","Height2",4616,0.338037793052052,1.13183485065784,0.302536948445595,-0.053260576990401,-0.0355049115124451,0.0342009339186463,0.0619769308659147,0.169701942336164,0.832195909855603,0.010953906153097,1.06550040093305,1.23852949374444,0.173029092811395,0.918765309844383,1.40335814234083,0.918765309844383,1.50711057699547,FALSE,-0.107321290533971,0.000800136553174818,0
"Male","Allometry_ageadj",4616,0.446339913592054,1.14772065852942,0.410942555526699,0.156406644147583,0.102821664251509,0.0345048532574412,0.0547201032694553,0.113893748114846,0.80628073033512,0.0164752895240524,1.07957360600511,1.21379448373002,0.134220877724912,2.6021981178886,5.2410519883199,2.6021981178886,5.2410519883199,FALSE,0.102157044520653,0.210656243774517,0
"Male","Gaussian",4616,0.466853087191428,1.14188319092275,0.415670042294072,0.231131050649283,0.152722225268175,0.0329180847241674,0.0540609076090297,0.0958776294503282,0.835531988161089,0.0182375286995398,1.07184645865068,1.22545808843705,0.153611629786364,3.19137093889184,5.77945857723663,3.19137093889184,5.77945857723663,FALSE,0.179863202479636,0.282398898818936,0
"Male","BCT",4616,0.46869202891697,1.12593878195607,0.449251932170452,0.250390516846858,0.167791025457913,0.0330339041043948,0.0610243429320496,-0.0927247759714356,-0.0405896917365145,0.0153033852040473,1.06928839907264,1.16466705372297,0.095378654650337,3.04542565008494,6.31971866593271,3.04542565008494,6.31971866593271,FALSE,0.199555424134382,0.301225609559337,0
