"country","sex","N","converged","iterations","nu","tau","warnings"
"Korea","Female",17267,TRUE,16,1.10271920765722,27.6802248620689,""
"Korea","Male",13926,TRUE,14,1.16980142166312,18.3746853994859,""
"US","Female",4621,TRUE,11,0.825520893882576,11.2624746240029,""
"US","Male",4524,TRUE,12,1.16068860906475,14.9100420235979,""
