"sex","year","method","N_observed","mean_HGS","mean_z","mean_age","mean_height","Kish_effective_N"
"Female",2014,"Observed",2745,26.2801841774172,0.383808130721608,45.9569247589195,157.932506141761,2081.95995477214
"Female",2014,"IPW",2745,26.2155690542119,0.383972367623499,46.412892585256,157.75088725507,2104.92935596222
"Female",2014,"IPW_cap99",2745,26.2177027176513,0.38398235611971,46.4047503279448,157.755280799245,2104.68542793053
"Female",2015,"Observed",2728,25.7109587864064,0.262559424517677,46.6493341249932,157.981489447891,2034.64499011828
"Female",2015,"IPW",2728,25.6615927005818,0.263592133973527,47.0231374913601,157.834415379091,2052.78746632481
"Female",2015,"IPW_cap99",2728,25.6624436030117,0.263544181197959,47.0187216431783,157.836442364939,2052.6518073344
"Female",2016,"Observed",3003,24.7929466924738,0.0341969971479816,46.6885779405822,158.24260460527,2274.88847783378
"Female",2016,"IPW",3003,24.7373139311048,0.0334288825266534,47.0623774867662,158.098189030398,2291.2285448792
"Female",2016,"IPW_cap99",3003,24.7389027714109,0.0334392019400858,47.0557439050331,158.101150532843,2291.20715008577
"Female",2017,"Observed",3127,24.1865175520824,-0.100528308125087,47.3262928825207,158.297147751689,2333.45902846052
"Female",2017,"IPW",3127,24.1668784017529,-0.100444448806303,47.4634617136791,158.24210264824,2340.72975505524
"Female",2017,"IPW_cap99",3127,24.1672372580734,-0.100451097678959,47.4619374811138,158.242902950422,2340.76651978036
"Female",2018,"Observed",3183,22.9947336073028,-0.389565403213074,47.4235348641405,158.577655847398,2320.74996443256
"Female",2018,"IPW",3183,22.9796306391909,-0.389286288260428,47.542197028564,158.530653736393,2326.28983988697
"Female",2018,"IPW_cap99",3183,22.9799010170622,-0.389290769068401,47.5409751403615,158.531260565658,2326.24167522694
"Female",2019,"Observed",3157,24.1935651761838,-0.126089999253432,47.7700398522724,158.925325520216,2292.73225843895
"Female",2019,"IPW",3157,24.1714433618147,-0.125367760514367,47.9461738951254,158.856646956786,2303.98668800491
"Female",2019,"IPW_cap99",3157,24.1717506794011,-0.125425202177268,47.9439073824037,158.857749962975,2303.89905973322
"Male",2014,"Observed",2124,43.4281818634999,0.262178747061475,44.9650614351456,171.303245625508,1550.39625713053
"Male",2014,"IPW",2124,43.3868630659266,0.262194508753887,45.1713948699263,171.237693769323,1563.66865192385
"Male",2014,"IPW_cap99",2124,43.3895803930642,0.26212279850475,45.1662107755077,171.242634680322,1563.44817974798
"Male",2015,"Observed",2225,42.9305865737699,0.185221271988098,45.2766344374049,171.412967328905,1589.80773090969
"Male",2015,"IPW",2225,42.9045812386386,0.186133255879942,45.4355989630294,171.363798716094,1597.76150925052
"Male",2015,"IPW_cap99",2225,42.906243797085,0.186132201929922,45.4319999323889,171.365727647213,1597.59181997314
"Male",2016,"Observed",2393,42.2821310962223,0.0878744792046495,45.4674656033819,171.276978699177,1754.06497345525
"Male",2016,"IPW",2393,42.2557522986317,0.0882873893078269,45.6168626840108,171.230720682843,1764.87354930141
"Male",2016,"IPW_cap99",2393,42.2571326909671,0.0883138242877252,45.6142682933962,171.232147681455,1764.6896988037
"Male",2017,"Observed",2548,41.339938835186,-0.0796570848445447,45.6591115769859,171.736264154171,1922.67613619418
"Male",2017,"IPW",2548,41.3304879496704,-0.0796139702507711,45.7102328932574,171.720559480787,1925.95465433367
"Male",2017,"IPW_cap99",2548,41.330968503311,-0.0796296388536507,45.7089361410231,171.721208163008,1925.86169992085
"Male",2018,"Observed",2531,39.955170150155,-0.292573397160433,45.9795875889088,171.992576338318,1855.98808499871
"Male",2018,"IPW",2531,39.9476950144422,-0.292388996287475,46.026291879289,171.978307137238,1858.73658321274
"Male",2018,"IPW_cap99",2531,39.9480611839354,-0.292410064160383,46.0252504301404,171.978908843792,1858.66842116924
"Male",2019,"Observed",2547,41.0132044984429,-0.124110501290807,46.2358479364797,171.998116414572,1891.94137726299
"Male",2019,"IPW",2547,41.0018953157014,-0.12385989833493,46.3066444791831,171.979440346056,1895.70487651632
"Male",2019,"IPW_cap99",2547,41.0026188701551,-0.123890991312701,46.3047343860395,171.980589748246,1895.5511747939
