"sex","family","N","abs_mean_z","abs_sd_minus1","abs_age_slope_per10y","abs_height_slope_per10cm","abs_p10_minus10_pp","abs_p5_minus5_pp","p10_age_range_pp","p10_height_range_pp","p5_height_range_pp"
"Female","NO",2527,0.022387883242215,0.0414455234414151,0.201018966282915,0.0828106039590261,1.03859792998741,0.0982429435266141,9.54997454803091,3.73524828982505,2.56342485191403
"Female","BCCG",2527,0.0229683098428682,0.0419637855464168,0.201026613469732,0.082705794056026,1.07251324103238,0.179604077418956,9.58459378131508,3.67015168383478,2.56342485191403
"Female","BCT",2527,0.0207826816334027,0.037749794783112,0.204411107894565,0.0844964527691821,0.586754775283188,0.24381881882277,9.50856190297041,3.98859689887437,3.44070400498028
"Male","NO",2371,0.0613490353666438,0.0244483230047629,0.102479797601642,0.153134103343947,2.21796925942389,0.979936062436684,5.23781749252425,6.3184248976744,2.85989315052755
"Male","BCCG",2371,0.0605177802622305,0.0247870835628345,0.103947250899754,0.152696072626009,2.35512636096751,1.15558402279926,4.88513505370599,6.22859867002631,3.27497583179828
"Male","BCT",2371,0.0642539801333771,0.0219688499272945,0.101879294199224,0.155088078921025,1.16338434032594,0.590380009135369,6.13877852935476,6.35698683836791,2.95437049633542
