"sex","family","abs_mean_z","abs_sd_minus1","abs_age_slope_per10y","abs_height_slope_per10cm","abs_p10_minus10_pp","abs_p5_minus5_pp","p10_age_range_pp","p10_height_range_pp","p5_height_range_pp"
"Female","BCCG",8.33436037241327e-05,0.00164922358454822,0.000162921334129623,0.000710435475528537,0.372254600742997,0.0148076259366228,0.748861140269154,1.36574141444315,0.852248670855573
"Male","BCCG",0.000174919152323793,0.00170993531127484,0.000217481039032089,0.00185664243493934,0.559557283287902,0.0861635169905797,0.947577941705633,1.14707529925865,1.27249055217138
"Female","BCT",0.000107681633448721,0.00151930532332956,0.00212252541834134,0.00345935187684365,0.0597401520214991,0.107403462547255,0.90514492131024,1.45834008333861,0.945182019286757
"Male","BCT",0.000187822205238461,0.00139976533770902,0.00229951280097927,0.00840072695784467,0.0132552160880488,0.0856000849719694,1.38189716905448,1.27666363604293,1.47500898945521
"Female","NO",7.92788919197363e-05,0.00159172284240716,0.000144112313755671,0.000804802091872993,0.311987854065087,0.158648287943763,0.771381888691321,1.31059487878326,0.919116325971426
"Male","NO",0.000129153743638033,0.00145998937674152,0.000257552654430071,0.00184126663476797,0.491408906366508,0.0399186012017969,1.02944583982723,1.14767514014874,1.2489897169799
