"sex","family","N","n","mean_z","sd_z","median_z","slope_per10cm","weighted_correlation","p5","p10","skewness","excess_kurtosis","tail_loss","sd_min","sd_max","sd_range","p5_drift_pp","p10_drift_pp","p5_range_pp","p10_range_pp","guardrail","age_slope_per10y"
"Female","NO",2527,2527,0.022387883242215,1.04144552344142,-1.77006671353328e-05,0.0828106039590261,0.0545583839574613,0.0490175705647339,0.0896140207001259,0.139100517348854,0.818865658467312,0.0025851106717804,0.985387626391052,1.13029556783878,0.144907941447729,2.56342485191403,2.53559314819077,2.56342485191403,3.73524828982505,TRUE,-0.201018966282915
"Female","BCCG",2527,2527,0.0229683098428682,1.04196378554642,-0.00714750072788351,0.082705794056026,0.0544622292676133,0.0482039592258104,0.0892748675896762,0.208280557700836,0.828191045314562,0.00270705787456512,0.981809872645184,1.13306314500797,0.151253272362789,2.56342485191403,2.57636807235744,2.56342485191403,3.67015168383478,TRUE,-0.201026613469732
"Female","BCT",2527,2527,0.0207826816334027,1.03774979478311,0.0266916860395959,0.0844964527691821,0.0558673310674581,0.0524381881882277,0.0941324522471681,-0.047062413326497,0.379675005378307,0.00287941102317432,0.994065843071104,1.10916280909224,0.115096966021138,3.44070400498028,2.26940209011529,3.44070400498028,3.98859689887437,TRUE,-0.204411107894565
"Male","NO",2371,2371,0.0613490353666438,0.975551676995237,0.0390941363670171,0.153134103343947,0.117721508009814,0.0402006393756332,0.0778203074057611,-0.00600200498392239,0.631937481475021,0.00813483640566156,0.940907144268249,0.991967239847699,0.0510600955794498,2.85989315052755,6.18508242723899,2.85989315052755,6.3184248976744,FALSE,-0.102479797601642
"Male","BCCG",2371,2371,0.0605177802622305,0.975212916437165,0.0225862198726974,0.152696072626009,0.117425548901134,0.0384441597720074,0.0764487363903249,0.078839177485984,0.636199509509774,0.00910254028821206,0.944101012750853,0.991194901957138,0.0470938892062854,3.27497583179828,6.22859867002631,3.27497583179828,6.22859867002631,FALSE,-0.103947250899754
"Male","BCT",2371,2371,0.0642539801333771,0.978031150072705,0.0688063904858093,0.155088078921025,0.118921370585205,0.0440961999086463,0.0883661565967406,-0.158861901307355,-1.55497845071295e-05,0.00515076562793653,0.933640735346767,0.995831611866107,0.06219087651934,2.95437049633542,6.35698683836791,2.95437049633542,6.35698683836791,FALSE,-0.101879294199224
