"sex","year","N_base","N_observed","weighted_response_pct","prediction_min","prediction_p01","prediction_median","prediction_max","IPW_factor_max","IPW_factor_p99","cap_N","cap_weighted_pct"
"Female",2014,3089,2745,90.0294362481406,0.710989258376206,0.800462065249661,0.901678241958527,0.964811902504964,1.26625592704107,1.11812698753739,42,0.98020426243532
"Female",2015,2987,2728,91.4740717689405,0.792010817497737,0.8358470575213,0.92134035709901,0.972922414557038,1.1549598786787,1.09047164321295,34,0.994531688651874
"Female",2016,3282,3003,91.607271660481,0.776934730929867,0.834242628624425,0.921791215155156,0.971853825611167,1.17908581008911,1.09475965117235,31,0.969020233135927
"Female",2017,3222,3127,97.0378913441506,0.918541980955393,0.935218491803752,0.97196400263651,0.990494613675594,1.05643392850939,1.0373397194527,37,0.995079273114144
"Female",2018,3275,3183,97.2479235441391,0.922237944244964,0.943379755413736,0.974655729322885,0.99106253410766,1.05447757979375,1.03051106776475,40,0.985539720660728
"Female",2019,3243,3157,96.9872305162941,0.898917286475785,0.920341349155286,0.962614469320418,0.98656142446736,1.07893386828207,1.05381802746678,39,0.981896707401666
"Male",2014,2267,2124,93.8781456212856,0.817288248078729,0.886255942023103,0.94068503792211,0.972188246180801,1.14865405004872,1.05926675545876,40,0.993121633637911
"Male",2015,2323,2225,95.7405413632214,0.864252710583973,0.910132565149949,0.953357783057139,0.978469533739063,1.08624109736469,1.05128314460166,41,0.996749931806577
"Male",2016,2506,2393,95.5974433839207,0.869618733842123,0.910400389772174,0.953145086884805,0.978248622074541,1.09930294350439,1.04960773290702,47,0.999190868312836
"Male",2017,2597,2548,98.360824203058,0.952028851346441,0.969632711740617,0.983414973867959,0.992439326541601,1.03317062359977,1.01437987411083,58,0.98891572066426
"Male",2018,2574,2531,98.577502690415,0.951245676981424,0.970388858259648,0.984933886621634,0.99312488176989,1.0362990873528,1.01585567323196,43,0.915015686874055
"Male",2019,2620,2547,96.8560496935467,0.933789895358606,0.958822309800148,0.977557198918995,0.989597520011592,1.03723600110655,1.01020990593471,52,0.984045856320152
