"sex","family","repeat_id","abs_mean_z","abs_sd_minus1","abs_age_slope_per10y","abs_height_slope_per10cm","abs_p10_minus10_pp","abs_p5_minus5_pp","p10_age_range_pp","p10_height_range_pp","p5_height_range_pp"
"Female","NO",1,0.000135643802955958,0.00166224484072575,0.000256913063882507,0.000879611061083935,0.314951243078115,0.168993536811504,0.697096211627239,1.30703199628333,0.839944572713125
"Female","NO",2,2.29139808835146e-05,0.00152120084408858,3.13115636288347e-05,0.000729993122662051,0.30902446505206,0.148303039076022,0.845667565755404,1.31415776128319,0.998288079229727
"Female","BCCG",1,0.000131372425754609,0.00177878626516126,0.000270596149519753,0.000773332864729227,0.357543210094294,0.0273952603642273,0.739519596387721,1.37771583382751,0.839238334546357
"Female","BCCG",2,3.53147816936568e-05,0.00151966090393518,5.5246518739493e-05,0.000647538086327848,0.386965991391699,0.00221999150901819,0.758202684150588,1.35376699505878,0.865259007164789
"Female","BCT",1,0.00012236283553954,0.00165035341381836,0.00225582288098747,0.00356288656527635,0.0726342679524166,0.11913658479338,0.938548459937847,1.4692198043462,0.915611246442814
"Female","BCT",2,9.30004313579019e-05,0.00138825723284075,0.0019892279556952,0.00335581718841096,0.0468460360905816,0.0956703403011296,0.871741382682634,1.44746036233101,0.9747527921307
"Male","NO",1,1.62309345293819e-05,0.00154605593816992,0.000201778176826071,0.00135328882331591,0.451393639849263,0.0545962602772967,1.000758379469,1.17948180261155,1.25574174385125
"Male","NO",2,0.000242076552746684,0.00137392281531312,0.00031332713203407,0.00232924444622004,0.531424172883753,0.0252409421262971,1.05813330018546,1.11586847768594,1.24223769010856
"Male","BCCG",1,0.000200870618546192,0.00202672052034814,0.000134863772095281,0.00137528934395741,0.552711874496691,0.116889423726811,0.949596533248359,1.09605821409779,1.33127863890011
"Male","BCCG",2,0.000148967686101393,0.00139315010220153,0.000300098305968897,0.00233799552592128,0.566402692079114,0.0554376102543488,0.945559350162908,1.19809238441951,1.21370246544266
"Male","BCT",1,4.8775637088727e-05,0.00151002223656094,0.00222168537418306,0.00796371345942367,0.00354641795169819,0.0916866633608358,1.32011404401991,1.23474774336874,1.48538164811834
"Male","BCT",2,0.000326868773388195,0.00128950843885711,0.00237734022777547,0.00883774045626567,0.0229640142243994,0.079513506583103,1.44368029408906,1.31857952871712,1.46463633079209
