"sex","family","N","df","BIC","GAIC","converged","iterations","skewness","excess_kurtosis","full_fit_reused"
"Female","NO",17943,16,103792.406674684,103667.687389152,TRUE,3,-0.0445601835984235,0.283026438295965,FALSE
"Female","BCCG",17943,17,103790.31663356,103657.802392683,TRUE,6,0.016167190181137,0.259821003591709,FALSE
"Female","BCT",17943,18,103756.951844096,103616.642647874,TRUE,15,-0.000908690919121805,-0.00339695261161932,TRUE
"Male","NO",14368,16,94753.4310953865,94632.2669547379,TRUE,3,-0.0373643251660586,0.767153392069257,FALSE
"Male","BCCG",14368,17,94749.285017884,94620.5481184448,TRUE,6,0.0488485571187763,0.767545786251695,FALSE
"Male","BCT",14368,18,94618.6179296005,94482.3082713707,TRUE,12,0.00573213554919691,0.0175666907972181,TRUE
