"sex","normalization","calibration","race","N","raw_mean_z","adjusted_mean_z","SE","ci_low","ci_high","adjustment_change","target_N","residual_df"
"Female","BCT","Frozen","Non-Hispanic Asian",282,0.628519657483769,0.571987763585523,0.0642042337736916,0.393728232991582,0.750247294179463,-0.0565318938982459,2527,4
"Female","BCT","Frozen","Non-Hispanic White",1078,0.891316725554924,0.932013906800311,0.0308143880751053,0.84645944985952,1.0175683637411,0.0406971812453871,2527,4
"Female","BCT","Frozen","Non-Hispanic Black",519,1.47883595016425,1.43481632704604,0.0531364526986366,1.28728588304334,1.58234677104875,-0.0440196231182053,2527,4
"Female","BCT","Frozen","Hispanic",572,1.01921940306419,0.907010683706492,0.0478439649435173,0.774174541425809,1.03984682598718,-0.112208719357699,2527,4
"Female","BCT","Frozen","Other / multiracial",76,1.11471272583423,1.00993834605373,0.145228954235063,0.606718126934798,1.41315856517267,-0.104774379780499,2527,4
"Female","BCT","Location_scale","Non-Hispanic Asian",282,-0.30890889120188,-0.363205032500862,0.0616650515060338,-0.534414662916559,-0.191995402085164,-0.0542961412989816,2527,4
"Female","BCT","Location_scale","Non-Hispanic White",1078,-0.0565050575954599,-0.0174173895377291,0.0295957247068165,-0.0995882945347512,0.064753515459293,0.0390876680577308,2527,4
"Female","BCT","Location_scale","Non-Hispanic Black",519,0.50777865263495,0.465499940355187,0.0510349847653192,0.323804106709672,0.607195774000701,-0.0422787122797632,2527,4
"Female","BCT","Location_scale","Hispanic",572,0.0663392586247032,-0.041431772223642,0.0459518070551884,-0.169014441997013,0.0861508975497293,-0.107771030848345,2527,4
"Female","BCT","Location_scale","Other / multiracial",76,0.158055962041073,0.057425253660515,0.139485364386395,-0.329848203536821,0.444698710857852,-0.100630708380558,2527,4
"Female","Height2","Frozen","Non-Hispanic Asian",282,0.672805180447805,0.503562833957368,0.0656426200324757,0.321309702875842,0.685815965038893,-0.169242346490437,2527,4
"Female","Height2","Frozen","Non-Hispanic White",1078,0.793205578772323,0.860650749018483,0.0304799031263531,0.776024971176417,0.945276526860549,0.0674451702461598,2527,4
"Female","Height2","Frozen","Non-Hispanic Black",519,1.41354473142765,1.38488473616231,0.0546612738774387,1.23312070986142,1.5366487624632,-0.0286599952653408,2527,4
"Female","Height2","Frozen","Hispanic",572,1.05165124937667,0.843736908608719,0.0477406598361488,0.711187587287731,0.976286229929708,-0.207914340767952,2527,4
"Female","Height2","Frozen","Other / multiracial",76,1.08249191396475,0.985272051767756,0.162407479073305,0.534356601447165,1.43618750208835,-0.0972198621969993,2527,4
"Female","Height2","Location_scale","Non-Hispanic Asian",282,-0.188035180928877,-0.347768967689997,0.0619546141266764,-0.519782552826426,-0.175755382553568,-0.159733786761119,2527,4
"Female","Height2","Location_scale","Non-Hispanic White",1078,-0.0743992502606124,-0.010743358779724,0.0287674476716116,-0.0906145980566036,0.0691278804971555,0.0636558914808884,2527,4
"Female","Height2","Location_scale","Non-Hispanic Black",519,0.511087325555775,0.484037537679264,0.0515902340441913,0.340800084891261,0.627274990467268,-0.0270497878765107,2527,4
"Female","Height2","Location_scale","Hispanic",572,0.169526141307867,-0.0267069271971427,0.0450584415557789,-0.151809216702526,0.0983953623082406,-0.196233068505009,2527,4
"Female","Height2","Location_scale","Other / multiracial",76,0.198634081743816,0.106876332816608,0.153282923385674,-0.318705289527955,0.53245795516117,-0.0917577489272089,2527,4
"Female","Allometry_ageadj","Frozen","Non-Hispanic Asian",282,0.636517289475676,0.574988003495049,0.0655521819640723,0.392985968745866,0.756990038244233,-0.0615292859806265,2527,4
"Female","Allometry_ageadj","Frozen","Non-Hispanic White",1078,0.893254621002316,0.935171678290502,0.0316338381602235,0.84734206317193,1.02300129340907,0.0419170572881856,2527,4
"Female","Allometry_ageadj","Frozen","Non-Hispanic Black",519,1.51424902874184,1.46996437593986,0.0561019087874045,1.31420050589482,1.62572824598491,-0.0442846528019776,2527,4
"Female","Allometry_ageadj","Frozen","Hispanic",572,1.0336313035176,0.917548089536859,0.0481514697105735,0.783858177150858,1.05123800192286,-0.116083213980739,2527,4
"Female","Allometry_ageadj","Frozen","Other / multiracial",76,1.16491680397049,1.06214711796171,0.167103396481016,0.598193710740065,1.52610052518335,-0.102769686008787,2527,4
"Female","Allometry_ageadj","Location_scale","Non-Hispanic Asian",282,-0.300285167107565,-0.35783100700437,0.0613082909718561,-0.528050111381222,-0.187611902627518,-0.0575458398968056,2527,4
"Female","Allometry_ageadj","Location_scale","Non-Hispanic White",1078,-0.0601691777847401,-0.0209658581100966,0.0295858428564062,-0.103109326691917,0.0611776104717236,0.0392033196746435,2527,4
"Female","Allometry_ageadj","Location_scale","Non-Hispanic Black",519,0.520621647186675,0.479204011675178,0.0524698346410474,0.333524396115504,0.624883627234851,-0.0414176355114978,2527,4
"Female","Allometry_ageadj","Location_scale","Hispanic",572,0.0711194267963799,-0.0374484842394412,0.0450341121727471,-0.162483224548393,0.087586256069511,-0.108567911035821,2527,4
"Female","Allometry_ageadj","Location_scale","Other / multiracial",76,0.193905418368151,0.0977891088246139,0.156285013662221,-0.336127652373629,0.531705870022857,-0.0961163095435366,2527,4
"Male","BCT","Frozen","Non-Hispanic Asian",269,0.225791616701472,0.273851875675411,0.0787110431572101,0.0553149851765627,0.492388766174259,0.0480602589739386,2371,4
"Male","BCT","Frozen","Non-Hispanic White",984,0.683744674172883,0.691844456904425,0.0645993187496781,0.512487994562769,0.871200919246081,0.00809978273154166,2371,4
"Male","BCT","Frozen","Non-Hispanic Black",512,0.851753118516796,0.825433608799457,0.0631061091181132,0.650222961030394,1.00064425656852,-0.0263195097173382,2371,4
"Male","BCT","Frozen","Hispanic",529,0.532438229636111,0.520266283322377,0.0690073653231695,0.328671121648267,0.711861444996487,-0.0121719463137343,2371,4
"Male","BCT","Frozen","Other / multiracial",77,0.567432046578723,0.472135639969378,0.176108674949609,-0.0168204285773334,0.96109170851609,-0.0952964066093445,2371,4
"Male","BCT","Location_scale","Non-Hispanic Asian",269,-0.318826077714374,-0.275647819260474,0.070715510843606,-0.471985553203765,-0.0793100853171822,0.0431782584539004,2371,4
"Male","BCT","Location_scale","Non-Hispanic White",984,0.0926077326189547,0.0998847327781216,0.058037266974195,-0.0612525530314397,0.261022018587683,0.00727700015916689,2371,4
"Male","BCT","Location_scale","Non-Hispanic Black",512,0.243549741405316,0.219903789069284,0.0566957388015622,0.062491182588114,0.377316395550454,-0.0236459523360324,2371,4
"Male","BCT","Location_scale","Hispanic",529,-0.0433288791977244,-0.0542643892228862,0.0619975405617816,-0.226397157249946,0.117868378804174,-0.0109355100251618,2371,4
