"sex","year","N","mean_z","sd_z","P10","P5"
"Female",2014,2745,0.383808130721608,0.969994947453993,4.46208608647972,2.11525699546975
"Female",2015,2728,0.262559424517677,0.961978048599085,5.39639119512532,2.44847844883621
"Female",2016,3003,0.0341969971479816,1.01125991551932,9.21418193086491,5.17258630405429
"Female",2017,3127,-0.100528308125087,0.964754387156174,11.4220942912742,5.52047660159579
"Female",2018,3183,-0.389565403213074,0.946562662905217,17.2747331726015,9.7593925102068
"Female",2019,3157,-0.126089999253432,0.948408331184556,10.6823928041497,5.22570978302359
"Male",2014,2124,0.262178747061475,0.969434314404416,5.5959744335683,2.54338864406093
"Male",2015,2225,0.185221271988098,0.998077305978314,6.60834587663129,3.32038055064913
"Male",2016,2393,0.0878744792046495,0.971285248216493,8.06903511796337,3.33418127531334
"Male",2017,2548,-0.0796570848445447,0.994752694174472,11.5601723448397,6.22224621483747
"Male",2018,2531,-0.292573397160433,0.961820581359829,15.7032723503049,8.4559535077525
"Male",2019,2547,-0.124110501290807,0.994156043707349,11.8589179525944,6.03871117744555
