"sex","candidate","repeat_id","n","mean_z","sd_z","median_z","slope_per10cm","weighted_correlation","p5","p10","skewness","excess_kurtosis","tail_loss","sd_min","sd_max","sd_range","p5_drift_pp","p10_drift_pp","p5_range_pp","p10_range_pp","guardrail","clipped","mean_nll"
"Male","NO_M1_S0",1,6742,0.000516578540543989,1.00438877905869,-0.000177573403266331,-0.000861597974254587,-0.000562878891885032,0.0477551192384305,0.0962374123069296,-0.0345911836576451,0.882313890489036,0.00289608302243306,0.90992437631516,1.10368642268009,0.193762046364931,-3.60875090031032,-4.0517029501876,3.60875090031032,4.0517029501876,TRUE,0,3.28053489363167
"Male","NO_M1_S0",2,6742,-0.000247518938620453,1.0033216846996,-0.0031928277488303,-0.00123237454303122,-0.000805962185097246,0.0475453345992727,0.0956067080169497,-0.0397891259389952,0.879219978421017,0.00294741246928962,0.909597764878429,1.10392150094158,0.194323736063152,-3.41995051776307,-4.31849795361595,3.41995051776307,4.31849795361595,TRUE,0,3.27941294983938
"Male","NO_M1_S1",1,6742,0.000120569915588705,1.00677618816409,-0.00110248390181531,0.00033204333955754,0.000216408335006224,0.0486484867666262,0.095429662187083,-0.0749875807817962,0.855801085915965,0.000850065946819725,0.987517122240708,1.04390992409945,0.0563928018587444,-0.611402099451718,-0.25217373643288,1.99301432433892,1.95881079172854,TRUE,0,3.27784262107832
"Male","NO_M1_S1",2,6742,-0.0005566420489858,1.00566285699079,-0.00155434918014487,-0.000228869560290996,-0.00014933024263791,0.0478063738434659,0.0958159561263724,-0.0730101743037965,0.855736999889508,0.00098933621757003,0.984795504540919,1.04126707681789,0.0564715722769673,-0.457198448935051,-0.401914152243921,1.95852090199276,2.24529326770632,TRUE,0,3.27664725887808
"Male","NO_M1_S2",1,6742,0.000193376843842796,1.00697743059131,-0.00111546534150423,0.00135898951889932,0.000885540679232159,0.0490052189500347,0.0950220988511739,-0.0818067956857332,0.855318946479209,0.0010169633167408,0.989145959394888,1.04181725931221,0.0526712999173201,-0.544502571620564,-0.260458725689552,1.96460871831592,2.65392546361509,TRUE,0,3.27611953271786
"Male","NO_M1_S2",2,6742,-0.000738991003252328,1.00637101087397,-0.00237483527678326,0.000713553391567532,0.000465243701479764,0.0492991804522103,0.0954175541772188,-0.0774543887526228,0.863360301856712,0.00116842256886774,0.986798353627338,1.03959559803049,0.0527972444031563,-0.613028035920977,-0.579854427653927,1.85429465869925,3.02053866890248,TRUE,0,3.27529184117132
"Male","BCCG_M1_S0",1,6742,0.00110514739015267,1.00411831063069,-0.0206218691846749,0.0122470407334819,0.00800310327696086,0.0453921755452161,0.0906121907883466,0.0657668036970422,0.78286875784221,0.00201786561779624,0.965127267558573,1.03403909834549,0.0689118307869191,0.720145569482451,0.551561834415495,2.50902173701531,2.49695636098609,TRUE,0,3.27804024210944
"Male","BCCG_M1_S0",2,6742,0.000345749142057676,1.00340764058437,-0.017830236198566,0.0122666274987527,0.0080215800034351,0.0463969877602652,0.0902517694871194,0.0608750946276916,0.809778252542022,0.00196575574680008,0.964600517580303,1.03542264587332,0.0708221282930188,0.474388229890956,0.472994130551253,2.4192615472953,2.57028315923577,TRUE,0,3.27720391370185
"Male","BCCG_M1_S1",1,6742,0.000488093376412068,1.00640366214245,-0.018269534334242,0.00283603447470074,0.00184906187066994,0.0469271222860751,0.0930799623345401,0.0539365350916104,0.785956196125863,0.00135007840903589,0.990293846943353,1.03756268463659,0.0472688376932392,-0.0784784222302257,-0.392397164305811,2.06588781406004,2.83822564636413,TRUE,0,3.27814657926695
"Male","BCCG_M1_S1",2,6742,-0.000281870341007778,1.00571393576743,-0.0194982755292752,0.00265244939407726,0.00173055252173413,0.0466059699704538,0.0930943936119446,0.0556293469049353,0.823408292238804,0.00119917137379143,0.989474147251003,1.0350959935001,0.0456218462490992,-0.254161328289987,-0.206230600525999,2.03924435418013,2.37867130291619,TRUE,0,3.27721762701433
"Male","BCCG_M1_S2",1,6742,0.000388401927411029,1.00671749082022,-0.0154510076449983,0.00134631055202275,0.000877505366848302,0.046142135219491,0.0941440498097012,0.0478678408991657,0.776460356331599,0.00110483158421685,0.987499031992672,1.04227950162278,0.0547804696301133,-0.156918703246653,-0.221084315200606,1.86974924626084,2.65392546361509,TRUE,0,3.27502476423952
