"scenario","sex","normalization","calibration","N","mean_z","mean_ci_low","mean_ci_high","sd_z","p10","p5","p10_events","p5_events","age_slope_per10y","age_slope_ci_low","age_slope_ci_high"
"Korea_temporal","Female","BCT","Frozen",9467,-0.437736083985155,-0.465673182661087,-0.409798985309221,0.969339992122077,19.1887724590579,10.7760007861979,1809,1014,0.013457630906809,-0.00160088675239043,0.0285161485660084
"Korea_temporal","Female","Height2","Frozen",9467,-0.442086251390207,-0.47008513333374,-0.414087369446675,0.970731975751313,18.6827920628236,10.7960622156921,1753,1011,0.0177833340212864,0.00240438351263078,0.033162284529942
"Korea_temporal","Female","Allometry_ageadj","Frozen",9467,-0.43398847458322,-0.462048510370488,-0.405928438795952,0.972004981143212,18.538632974399,10.8500016847571,1735,1009,0.0195547407024836,0.00417783676495417,0.034931644640013
"Korea_temporal","Male","BCT","Frozen",7626,-0.347292139690957,-0.382089959789967,-0.312494319591948,1.00448823921173,17.8164896003032,9.83649204721531,1347,735,0.0131616871146378,-0.00356178494265286,0.0298851591719284
"Korea_temporal","Male","Height2","Frozen",7626,-0.358309303568891,-0.393477271081973,-0.323141336055808,1.00255516303729,16.7882138568499,9.4706626654554,1260,702,0.0257841533185111,0.00881800824425749,0.0427502983927647
"Korea_temporal","Male","Allometry_ageadj","Frozen",7626,-0.346314030038921,-0.38168074360871,-0.310947316469132,1.01034013333411,16.7373081921406,9.55681021046999,1243,703,0.0291264562111486,0.0120622183052563,0.0461906941170409
"US_heldout","Female","BCT","Frozen",2527,0.971786942575735,0.916037161316684,1.02753672383479,1.08048122551776,2.44694250889295,1.11831277773707,60,32,-0.212828145548823,-0.239843412488568,-0.185812878609078
"US_heldout","Female","BCT","Location_scale",2527,0.0207826816334027,-0.0327622784218356,0.0743276416886409,1.03774979478311,9.41324522471681,5.24381881882277,270,150,-0.204411107894564,-0.230357961075005,-0.178464254714124
"US_heldout","Female","Height2","Frozen",2527,0.905450468331126,0.84373464493545,0.967166291726802,1.10844982913279,2.58470069493584,1.51426962303282,61,36,-0.230568316625634,-0.25749557133332,-0.203641061917948
"US_heldout","Female","Height2","Location_scale",2527,0.0315393734089881,-0.0267090636902253,0.0897878105082016,1.04617368119565,8.79784439773957,4.85522107975519,233,126,-0.217614273764688,-0.243028671820099,-0.192199875709278
"US_heldout","Female","Allometry_ageadj","Frozen",2527,0.981040002252379,0.923112590268024,1.03896741423673,1.10933677578539,2.19501500884797,1.12477021018896,54,32,-0.21429708883771,-0.241740974827447,-0.186853202847973
"US_heldout","Female","Allometry_ageadj","Location_scale",2527,0.0219329206580522,-0.0322442329129735,0.0761100742290778,1.03751758977155,8.93546328647133,4.85181001233657,251,129,-0.20042335561133,-0.226090506532094,-0.174756204690566
"US_heldout","Male","BCT","Frozen",2371,0.652185071351136,0.567213290919943,0.737156851782329,1.08861339109494,4.20491141191072,2.41077116478398,129,75,-0.113398396290682,-0.146086507181662,-0.0807102853997008
"US_heldout","Male","BCT","Location_scale",2371,0.0642539801333771,-0.0120862971575881,0.140594257424342,0.978031150072705,8.83661565967406,4.40961999086463,254,135,-0.101879294199224,-0.13124691997889,-0.072511668419557
"US_heldout","Male","Height2","Frozen",2371,0.545761731349886,0.461090861106828,0.630432601592943,1.10583049634857,4.19223879345183,2.59104682766246,124,74,-0.15398106765651,-0.18757297561034,-0.120389159702681
"US_heldout","Male","Height2","Location_scale",2371,0.0614572700972889,-0.0137497059388413,0.136664246133419,0.982228804312173,7.23366613943649,3.80100807782544,204,112,-0.136770183559209,-0.166607432299413,-0.106932934819006
"US_heldout","Male","Allometry_ageadj","Frozen",2371,0.640606633438746,0.557106728940395,0.724106537937097,1.11468501169301,3.93744632341534,2.06915644466283,117,69,-0.127425288748441,-0.161306868846242,-0.0935437086506399
"US_heldout","Male","Allometry_ageadj","Location_scale",2371,0.0607250304741995,-0.012509387103533,0.133959448051932,0.977645520727244,7.10219646303693,3.82342344434061,214,115,-0.11175961053166,-0.141475785657641,-0.0820434354056778
