"sex","N","mean_z","sd_z","p10","p5","slope_10cm","slope_ci_low","slope_ci_high","OR_p10","OR_p10_ci_low","OR_p10_ci_high","p10_Q1_pct","p10_Q5_pct","p10_drift_pp","p10_range_pp","OR_p5","OR_p5_ci_low","OR_p5_ci_high","p5_Q1_pct","p5_Q5_pct","p5_drift_pp","p5_range_pp","korea_age_min","korea_age_max","korea_height_min","korea_height_max","korea_height_p01","korea_height_p99","age_outside_N","age_outside_weighted_pct","height_below_min_N","height_below_min_weighted_pct","height_above_max_N","height_above_max_weighted_pct","height_below_p01_N","height_below_p01_weighted_pct","height_above_p99_N","height_above_p99_weighted_pct","US_height_cut_1","US_height_cut_2","US_height_cut_3","US_height_cut_4","model_md5","CDF_clipped_N"
"Female",4718,0.96142649345553,1.06189900302711,2.03020337621361,0.881939005913933,0.123548861277914,0.05329741302541,0.193800309530417,0.804769652325523,0.497177251016009,1.30266256547464,2.51261984102476,1.53847893145331,0.97414090957145,0.97414090957145,0.393339321991909,0.277343725300364,0.557848648126066,1.76511347741499,0.183780294098923,1.58133318331607,1.58133318331607,20,79,126.1,186.8,143.2,173,0,0,0,0,0,0,22,0.365102563512358,220,6.17236471536466,156.2,160.6,164,167.9,"bc9e9e868505758e5ae832fb897b291e",0
"Male",4616,0.617449219890635,1.10113798380581,4.47905255786043,2.43425484845859,0.217795742314191,0.167087812863661,0.268503671764721,0.608810818990705,0.45864296971269,0.808146287628309,7.01902889067199,2.70039549087889,4.31863339979311,4.31863339979311,0.685033566260387,0.499414694137313,0.93964192966737,3.09245296259913,1.41572381035323,1.6767291522459,1.76416932492206,20,79,128.8,195,156,186.7,0,0,0,0,20,0.54682592121506,42,0.548878575553603,267,7.82131535810075,169.6,173.8,177.9,182.4,"bc9e9e868505758e5ae832fb897b291e",0
