"sex","normalization","method","N","mean_z","sd_z","slope_10cm","slope_ci_low","slope_ci_high","p10","p5","p10_drift_pp","p5_drift_pp","p10_range_pp","p5_range_pp"
"Female","Height2","Frozen",2527,0.905450468331126,1.10844982913279,-0.0934575525946036,-0.192482197940804,0.00556709275159734,2.58470069493584,1.51426962303282,0.420791707294139,0.732737564434824,2.09541080484211,0.837666296966859
"Female","Height2","Location",2527,0.0334168347899875,1.10844982913279,-0.0934575525946034,-0.192482197940804,0.00556709275159735,10.1709894422107,5.50678795194703,-4.47620364979921,0.0715235294170405,7.16452369730189,1.53125586006462
"Female","Height2","Location_scale",2527,0.0315393734089881,1.04617368119565,-0.0882068175425915,-0.18166795130629,0.00525431622110731,8.79784439773957,4.85522107975519,-3.17461265172929,-0.706435769414071,5.15418208139075,1.99965096683085
"Female","Height2","Location_scale_height",2527,0.0307105538951899,1.04562368780492,-0.0704680399775549,-0.163936655348676,0.0230005753935666,8.82447881193053,4.80259251562161,-2.44147945541487,0.287809477088075,4.81011745802974,1.4377432130991
"Female","Allometry_ageadj","Frozen",2527,0.981040002252379,1.10933677578539,0.0887318606380946,-0.0105653188730534,0.188029040149242,2.19501500884797,1.12477021018896,1.430301891131,1.69899365851491,1.65857712639391,1.69899365851491
"Female","Allometry_ageadj","Location",2527,0.0234511643236021,1.10933677578539,0.0887318606380944,-0.0105653188730535,0.188029040149242,9.91224678504226,5.70018002662956,1.11913435307092,2.71747915704173,4.34098823386628,2.71747915704173
"Female","Allometry_ageadj","Location_scale",2527,0.0219329206580522,1.03751758977155,0.082987302138257,-0.00988131324193867,0.175855917518453,8.93546328647133,4.85181001233657,2.11129217467066,2.05404536192519,3.79286125504036,2.29953290586687
"Female","Allometry_ageadj","Location_scale_height",2527,0.029330356612503,1.04342178071789,-0.0715598274612585,-0.164994284805287,0.0218746298827696,9.01226198309973,4.71808682915043,-4.26688515924483,-1.79770811471492,5.78317417560456,2.22845530999599
"Male","Height2","Frozen",2371,0.545761731349886,1.10583049634857,-0.0920652274310373,-0.17703345353982,-0.00709700132225416,4.19223879345183,2.59104682766246,0.696813626553246,0.484273872623575,1.67026130295736,1.92409207808193
"Male","Height2","Location",2371,0.0691909290356281,1.10583049634857,-0.0920652274310372,-0.17703345353982,-0.00709700132225409,9.94894160880025,4.77023290791888,-0.521883026611786,1.71029952303176,2.03788621025095,2.20512983671056
"Male","Height2","Location_scale",2371,0.0614572700972889,0.982228804312173,-0.0817748457443619,-0.157245941369716,-0.00630375011900762,7.23366613943649,3.80100807782544,0.29088448042609,0.403863865025877,2.74109597151087,1.96066128043756
"Male","Height2","Location_scale_height",2371,0.061466150766429,0.982102620344914,-0.0789857806535265,-0.15445704553971,-0.00351451576734348,7.23366613943649,3.80100807782544,0.29088448042609,0.403863865025877,2.74109597151087,1.96066128043756
"Male","Allometry_ageadj","Frozen",2371,0.640606633438746,1.11468501169301,0.108933492342557,0.0226502968164658,0.195216687868648,3.93744632341534,2.06915644466283,2.41706655795238,1.29027245619064,2.48715806753465,1.85687276925887
"Male","Allometry_ageadj","Location",2371,0.0692370392633102,1.11468501169301,0.108933492342557,0.0226502968164658,0.195216687868649,10.6394408214949,5.31159294669644,8.22863869222186,3.48057402684282,8.22863869222186,3.48057402684282
"Male","Allometry_ageadj","Location_scale",2371,0.0607250304741995,0.977645520727244,0.0955411974941012,0.0198656669762945,0.171216728011908,7.10219646303693,3.82342344434061,5.15240961668449,2.35278881156889,5.15240961668449,2.42288032115116
"Male","Allometry_ageadj","Location_scale_height",2371,0.0606941430256839,0.984566041056954,-0.0730050983204921,-0.149303582258361,0.00329338561737647,7.45096002707365,3.76503145270631,-0.929243981424019,-0.429279369294537,2.58954074391728,2.32911869766409
"Female","BCT","Frozen",2527,0.971786942575735,1.08048122551776,0.0879757638102202,-0.00820557146762033,0.184157099088061,2.44694250889295,1.11831277773707,1.35697015546761,1.69899365851491,2.28014420165727,1.69899365851491
"Female","BCT","Location",2527,0.0216384502639169,1.08048122551776,0.0879757638102202,-0.00820557146762022,0.184157099088061,10.0568939441639,5.84177838890462,2.19886370470417,2.9198450092956,4.86091554886728,2.9198450092956
"Female","BCT","Location_scale",2527,0.0207826816334027,1.03774979478311,0.084496452769177,-0.00788105328023665,0.176873958818591,9.41324522471681,5.24381881882277,2.26940209011529,3.44070400498028,3.98859689887437,3.44070400498028
"Female","BCT","Location_scale_height",2527,0.0281856239407712,1.04357836163387,-0.0702979280549754,-0.163240153881411,0.0226442977714608,9.87990392263993,5.29290299729244,-4.26717756060673,-0.0581406201368324,6.39630803403547,1.62342770906828
"Male","BCT","Frozen",2371,0.652185071351136,1.08861339109494,0.172623294769359,0.0905339702699189,0.254712619268799,4.20491141191072,2.41077116478398,2.94141552072288,1.62837052007809,2.94141552072288,2.7258527603835
"Male","BCT","Location",2371,0.0715189318859041,1.08861339109494,0.172623294769359,0.0905339702699188,0.254712619268799,10.8224282649091,5.85420797702465,10.8618434139642,4.15152185771221,10.8618434139642,4.15152185771221
"Male","BCT","Location_scale",2371,0.0642539801333771,0.978031150072705,0.155088078921025,0.0813374553244082,0.228838702517641,8.83661565967406,4.40961999086463,6.35698683836791,2.95437049633542,6.35698683836791,2.95437049633542
"Male","BCT","Location_scale_height",2371,0.0645676271471215,0.989258874005178,-0.0837008019457278,-0.158679825160906,-0.00872177873054923,8.846276791424,4.16940153237959,-2.04116153504789,0.0526148042125196,3.22311892234305,1.44149919233712
