"sex","n","b","se","ci_low","ci_high","design_df"
"Female",8476,2.12805700095808,0.066087722005416,1.99821187723854,2.25790212467763,498
"Male",6742,2.09316062361744,0.0726970702035277,1.95032985584105,2.23599139139382,498
