"height10","z","ci_low","ci_high","height_cm","sex","method"
14.4,-1.27225507131134,-1.80003258255558,-0.744477560067106,144,"Female","Absolute"
14.4245378151261,-1.25990374761265,-1.77211740025835,-0.747690094966947,144.245378151261,"Female","Absolute"
14.4490756302521,-1.24755203816753,-1.74422182964504,-0.750882246690014,144.490756302521,"Female","Absolute"
14.4736134453782,-1.23519955722955,-1.71635975824111,-0.754039356218003,144.736134453782,"Female","Absolute"
14.4981512605042,-1.2228459190523,-1.68854510026413,-0.75714673784048,144.981512605042,"Female","Absolute"
14.5226890756303,-1.21049073788934,-1.66079179912656,-0.760189676652125,145.226890756303,"Female","Absolute"
14.5472268907563,-1.19813362799425,-1.63311383029429,-0.763153425694218,145.472268907563,"Female","Absolute"
14.5717647058824,-1.18577420362061,-1.60552520454786,-0.76602320269335,145.717647058824,"Female","Absolute"
14.5963025210084,-1.17341207902197,-1.57803997169995,-0.768784186343995,145.963025210084,"Female","Absolute"
14.6208403361345,-1.16104686845193,-1.55067222482924,-0.771421512074622,146.208403361345,"Female","Absolute"
14.6453781512605,-1.14867818616405,-1.52343610509843,-0.773920267229669,146.453781512605,"Female","Absolute"
14.6699159663866,-1.1363056464119,-1.49634580723171,-0.776265485592095,146.699159663866,"Female","Absolute"
14.6944537815126,-1.12392886344907,-1.46941558573428,-0.778442141163852,146.944537815126,"Female","Absolute"
14.7189915966387,-1.11154745152911,-1.44265976194322,-0.780435141115012,147.189915966387,"Female","Absolute"
14.7435294117647,-1.09916102490562,-1.41609273200365,-0.782229317807587,147.435294117647,"Female","Absolute"
14.7680672268908,-1.08676919783215,-1.38972897586548,-0.783809419798833,147.680672268908,"Female","Absolute"
14.7926050420168,-1.07437158456229,-1.36358306739117,-0.785160101733421,147.926050420168,"Female","Absolute"
14.8171428571429,-1.06196779934961,-1.33766968565125,-0.786265913047981,148.171428571429,"Female","Absolute"
14.8416806722689,-1.04955745644768,-1.31200362745487,-0.787111285440498,148.416806722689,"Female","Absolute"
14.866218487395,-1.03714017011008,-1.28659982111143,-0.787680519108723,148.66218487395,"Female","Absolute"
14.890756302521,-1.02471555459037,-1.2614733413332,-0.787957767847543,148.90756302521,"Female","Absolute"
14.9152941176471,-1.01228322414214,-1.23663942505275,-0.787927023231522,149.152941176471,"Female","Absolute"
14.9398319327731,-0.999842793018947,-1.21211348771909,-0.787572098318809,149.398319327731,"Female","Absolute"
14.9643697478992,-0.987393875474378,-1.18791113931996,-0.786876611628799,149.643697478992,"Female","Absolute"
14.9889075630252,-0.974936085762003,-1.16404819891086,-0.785823972613149,149.889075630252,"Female","Absolute"
15.0134453781513,-0.962469038135394,-1.14054070575288,-0.78439737051791,150.134453781513,"Female","Absolute"
15.0379831932773,-0.949992346848126,-1.11740492419467,-0.782579769501583,150.379831932773,"Female","Absolute"
15.0625210084034,-0.937505626153772,-1.09465733808229,-0.780353914225252,150.625210084034,"Female","Absolute"
15.0870588235294,-0.925008490305905,-1.07231462863756,-0.777702351974245,150.870588235294,"Female","Absolute"
